title,author,year_of_publication,place_of_publication,printer_editor_publisher,region_bin,time_bin,religion
Abel_carmina.xml,"Abel, Michael",1590,S. L.,S. L.,Unknown,1575-1599,
Atrocianus_elegia.xml,"Atrocianus, Johannes",1528,Basel,Johann Faber,Swiss,1525-1549,Protestant (Calvinist)
Chytraeus_itinera.xml,"Chytraeus, Nathan",1616,Bremen,Thomas Villerianus,North,1600-1624,mixed
Fabricius_poemata_1.xml,"Fabricius, Georg (Chemnicensis)",1567,Basel,Johann Oporinus,Swiss,1550-1574,Protestant (Calvinist)
Fabricius_poemata_2.xml,"Fabricius, Georg (Chemnicensis)",1567,Basel,Johann Oporinus,Swiss,1550-1574,Protestant (Calvinist)
Fuerstenberg_poemata.xml,"Fürstenberg, Ferdinand von",1671,Amsterdam,Daniel Elzevir,Low Countries,1650-1674,Protestant (Calvinist)
Hessus_psalterium.xml,"Hessus, Eobanus",1548,Leipzig,Valentin Papa,North,1525-1549,Protestant (Lutheran)
Kaldenbach_silvae.xml,"Kaldenbach, Christoph",1667,Tübingen,Johann Heinrich Reis,South,1650-1674,Protestant (Lutheran)
Klotz_opuscula_poetica.xml,"Klotz, Christian Adolph",1761,Altenburg,Richter,North,1750-1774,Protestant (Lutheran)
Lauterbach_aenigmata.xml,"Lauterbach, Johann",1601,Frankfurt,Collegium Palthenianum,Central/West,1600-1624,Catholic
Lubinus_declamationes.xml,"Lubinus, Eilhardus",1618,Rostock,Joachim Pedanus,North,1600-1624,Protestant (Lutheran)
Meibom_guelfus.xml,"Meibom, Heinrich",1614,Helmstadt,Jakob Lucius,North,1600-1624,Catholic
Opitius_1.xml,"Opitz, Martin",1631,Frankfurt,David Müller,Central/West,1625-1649,Catholic
Opitius_2.xml,"Opitz, Martin",1631,Frankfurt,David Müller,Central/West,1625-1649,Catholic
Opitius_3.xml,"Opitz, Martin",1631,Frankfurt,David Müller,Central/West,1625-1649,Catholic
Opitius_4.xml,"Opitz, Martin",1631,Frankfurt,David Müller,Central/West,1625-1649,Catholic
Posthius_votum.xml,"Posthius, Johannis",1573,Frankfurt,Johann Lucienbergius,Central/West,1550-1574,Catholic
Rettenpacher_dramata.xml,"Rettenpacher,mon",1683,Salzburg,Johann Baptist Mayr,South,1675-1699,Catholic
Rettenpacher_lyrica.xml,"Rettenpacher,mon",1893,Wien,Josef Roller,South,1875-1899,Catholic
Reusner_aenigmata.xml,"Lauterbach, Johann",1601,Frankfurt,Collegium Palthenianum,Central/West,1600-1624,Catholic
Reusner_griphologia.xml,"Lauterbach, Johann",1601,Frankfurt,Collegium Palthenianum,Central/West,1600-1624,Catholic
Reusner_opera_3.xml,"Reusner, Nikolaus",1593,Jena,Tobias Steinmann,North,1575-1599,Protestant (Lutheran)
Reusner_opera_4.xml,"Reusner, Nikolaus",1594,Jena,Tobias Steinmann,North,1575-1599,Protestant (Lutheran)
Seckerwitz_sirach.xml,"Seckerwitz, Johann",1556,Basel,Michael Martin Stella,Swiss,1550-1574,Protestant (Calvinist)
Weitenauer_carmina.xml,"Weitenauer, Ignatius",1757,Augsburg,Ignaz Anton Wagner; Anton Anton Wagner,South,1750-1774,mixed
acidaliuspoemata_1.xml,"Acidalius, Valens",1603,Breslau,S. L.,North,1600-1624,Protestant (Lutheran)
acidaliuspoemata_2.xml,"Acidalius, Valens",1603,Breslau,S. L.,North,1600-1624,Protestant (Lutheran)
acidaliuspoemata_3.xml,"Acidalius, Valens",1603,Breslau,S. L.,North,1600-1624,Protestant (Lutheran)
acidaliuspoemata_4.xml,"Acidalius, Valens",1603,Breslau,S. L.,North,1600-1624,Protestant (Lutheran)
acidaliuspoemata_5.xml,"Acidalius, Valens",1603,Breslau,S. L.,North,1600-1624,Protestant (Lutheran)
acidaliuspoemata_front.xml,"Acidalius, Valens",1603,Breslau,S. L.,North,1600-1624,Protestant (Lutheran)
